FID,StationID,Bight,Latitude,Longitude
199,661,1994,34.205266670000000,-119.506366700000000
200,665,1994,34.204466670000002,-119.346300000000000
201,670,1994,34.202816669999997,-119.665366700000010
202,682,1994,34.197150000000001,-119.633733300000000
203,708,1994,34.184916670000000,-119.569366700000000
204,714,1994,34.177816669999999,-119.454383300000000
205,739,1994,34.164783329999999,-119.446100000000000
206,753,1994,34.155700000000003,-119.426233300000010
207,757,1994,34.152000000000001,-119.371650000000000
208,758,1994,34.150900000000000,-119.279716699999990
209,759,1994,34.150733330000001,-119.298083300000000
210,814,1994,34.095683330000000,-119.166133300000000
211,815,1994,34.095300000000002,-119.292716700000000
212,820,1994,34.088883330000002,-119.073950000000000
213,823,1994,34.070433330000000,-119.250416700000000
214,827,1994,34.082433330000001,-119.218516700000000
215,830,1994,34.080783330000003,-119.169533300000000
216,831,1994,34.079566669999998,-119.157200000000000
217,833,1994,34.077500000000001,-119.078700000000000
218,834,1994,34.077383330000004,-119.085566700000000
219,846,1994,34.065066670000000,-119.115550000000000
220,85,1994,34.426533329999998,-120.411883300000000
221,859,1994,34.058683330000001,-119.206366700000000
222,884,1994,34.029499999999999,-118.633666700000010
223,886,1994,34.028500000000001,-118.669166700000010
224,890,1994,34.027349999999998,-118.939650000000000
225,894,1994,34.024833330000000,-118.665333300000000
226,897,1994,34.024333329999997,-118.597333300000000
227,899,1994,34.023166670000002,-118.610333299999990
228,9,1994,34.458449999999999,-120.147516700000000
229,900,1994,34.023000000000003,-118.746833300000010
230,902,1994,34.022333330000002,-118.703833300000000
231,903,1994,34.021833330000000,-118.681666699999990
232,908,1994,34.020333330000000,-118.664000000000000
233,916,1994,34.015833330000000,-118.633833300000010
234,918,1994,34.014166670000002,-118.696333300000010
